Country,Survey,Total
Colombia,2015 DHS,2.1
Colombia,2010 DHS,2
Colombia,2005 DHS,1.6
Colombia,2000 DHS,1.6
Colombia,1995 DHS,2.1
Colombia,1990 DHS,2.3
Colombia,1986 DHS,3.2
,,
India,2005-06 DHS,5.4
India,1998-99 DHS,6
India,1992-93 DHS,6.1
,,
Indonesia,2012 DHS,3.5
Indonesia,2007 DHS,3.8
Indonesia,2002-03 DHS,4.9
Indonesia,1997 DHS,5.3
Indonesia,1994 DHS,6.3
Indonesia,1991 DHS,6.9
Indonesia,1987 DHS,7.2
,,
Kenya,2015 MIS,
Kenya,2014 DHS,4.6
Kenya,2008-09 DHS,5.7
Kenya,2003 DHS,5.6
Kenya,1998 DHS,8.5
Kenya,1993 DHS,7.4
Kenya,1989 DHS,12.5
,,
Senegal,2016 DHS,2.3
Senegal,2015 DHS,2.7
Senegal,2014 DHS,2.8
Senegal,2012-13 DHS,3.6
Senegal,2010-11 DHS,6.8
Senegal,2008-09 MIS,5.9
Senegal,2006 MIS,
Senegal,2005 DHS,4.8
Senegal,1997 DHS,4.3
Senegal,1992-93 DHS,6.2
Senegal,1986 DHS,5.6
