Country,Survey,Total,15-19,20-29,30-39,40-49
Colombia,2015 DHS,33.9,28.2,32.6,34.6,35.0
Colombia,2010 DHS,22.0,12.9,22.2,22.3,22.4
Colombia,2005 DHS,16.2,10.5,15.2,17.5,15.9
Colombia,2000 DHS,18.0,20.0,19.8,18.9,14.6
Colombia,1995 DHS,,,,,
Colombia,1990 DHS,,,,,
Colombia,1986 DHS,,,,,
,,,,,,
India,2005-06 DHS,56.5,42.1,55.5,58.5,57.2
India,1998-99 DHS,,,,,
India,1992-93 DHS,,,,,
,,,,,,
Indonesia,2012 DHS,28.5,22.9,28.9,29.0,27.7
Indonesia,2007 DHS,29.8,19.9,31.3,30.5,28.3
Indonesia,2002-03 DHS,32.2,19.7,32.9,33.1,31.2
Indonesia,1997 DHS,,,,,
Indonesia,1994 DHS,,,,,
Indonesia,1991 DHS,,,,,
Indonesia,1987 DHS,,,,,
,,,,,,
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,41.2,30.9,43.1,40.2,40.5
Kenya,2008-09 DHS,48.8,55.5,48.9,49.3,47.1
Kenya,2003 DHS,33.4,30.1,33.2,37.2,28.6
Kenya,1998 DHS,,,,,
Kenya,1993 DHS,,,,,
Kenya,1989 DHS,,,,,
,,,,,,
Senegal,2016 DHS,11.4,7.0,9.7,13.7,10.4
Senegal,2015 DHS,11.6,8.0,13.5,11.0,10.7
Senegal,2014 DHS,7.6,3.4,8.4,7.6,7.2
Senegal,2012-13 DHS,9.6,1.0,11.4,10.0,7.9
Senegal,2010-11 DHS,8.7,8.7,10.0,7.8,8.4
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,4.9,2.0,6.8,5.0,3.3
Senegal,1997 DHS,,,,,
Senegal,1992-93 DHS,,,,,
Senegal,1986 DHS,,,,,
