Country,Survey,15-19,20-29,30-39,40-49
Colombia,2015 DHS,9.2,10.9,10.7,8.9
Colombia,2010 DHS,8.9,10.5,10.1,7.1
Colombia,2005 DHS,8.5,10.3,7.9,6.1
Colombia,2000 DHS,8.3,9.5,6.9,4.9
Colombia,1995 DHS,7.2,7.6,6.4,4.4
Colombia,1990 DHS,6.2,6.9,5.4,3.9
Colombia,1986 DHS,,,,
,,,,,
India,2005-06 DHS,7.1,5.2,,
India,1998-99 DHS,,0.6,,
India,1992-93 DHS,,,,
,,,,,
Indonesia,2012 DHS,9.0,9.0,8.3,5.7
Indonesia,2007 DHS,5.9,8.2,6.0,5.2
Indonesia,2002-03 DHS,5.9,6.0,5.7,5.1
Indonesia,1997 DHS,5.5,5.7,5.1,3.8
Indonesia,1994 DHS,5.5,5.5,4.4,3.2
Indonesia,1991 DHS,5.4,5.2,4.0,2.1
Indonesia,1987 DHS,,,,
,,,,,
Kenya,2015 MIS,7.4,8.0,7.7,7.3
Kenya,2014 DHS,7.6,7.9,7.5,7.1
Kenya,2008-09 DHS,7.2,7.6,7.4,6.4
Kenya,2003 DHS,6.7,7.5,6.9,5.0
Kenya,1998 DHS,6.6,7.4,6.3,3.5
Kenya,1993 DHS,6.5,6.9,5.1,0.6
Kenya,1989 DHS,,,,
,,,,,
Senegal,2016 DHS,5.6,2.2,,
Senegal,2015 DHS,5.2,2.1,,
Senegal,2014 DHS,4.9,1.5,,
Senegal,2012-13 DHS,4.7,,,
Senegal,2010-11 DHS,3.9,,,
Senegal,2008-09 MIS,3.0,,,
Senegal,2006 MIS,0.6,,,
Senegal,2005 DHS,0.8,,,
Senegal,1997 DHS,,,,
Senegal,1992-93 DHS,,,,
Senegal,1986 DHS,,,,
