Country,Survey,Total ,15-19,20-29,30-39,40-49
Colombia,2015 DHS,,,,,
Colombia,2010 DHS,37.4,33.9,36.5,37.2,38.8
Colombia,2005 DHS,22.2,31.6,25.0,23.3,16.9
Colombia,2000 DHS,40.7,38.9,40.4,41.1,41.1
Colombia,1995 DHS,,,,,
Colombia,1990 DHS,,,,,
Colombia,1986 DHS,,,,,
,,,,,,
India,2005-06 DHS,37.2,30.6,36.8,39.0,37.0
India,1998-99 DHS,,,,,
India,1992-93 DHS,,,,,
,,,,,,
Indonesia,2012 DHS,,,,,
Indonesia,2007 DHS,,,,,
Indonesia,2002-03 DHS,,,,,
Indonesia,1997 DHS,,,,,
Indonesia,1994 DHS,,,,,
Indonesia,1991 DHS,,,,,
Indonesia,1987 DHS,,,,,
,,,,,,
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,39.4,24.4,38.7,40.2,41.4
Kenya,2008-09 DHS,39.2,29.0,37.9,39.6,42.7
Kenya,2003 DHS,42.9,29.7,40.5,46.3,47.2
Kenya,1998 DHS,,,,,
Kenya,1993 DHS,,,,,
Kenya,1989 DHS,,,,,
,,,,,,
Senegal,2016 DHS,,,,,
Senegal,2015 DHS,,,,,
Senegal,2014 DHS,,,,,
Senegal,2012-13 DHS,,,,,
Senegal,2010-11 DHS,,,,,
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,,,,,
Senegal,1997 DHS,,,,,
Senegal,1992-93 DHS,,,,,
Senegal,1986 DHS,,,,,
