Country,Survey,Total,15-19,20-29,30-39,40-49
Colombia,2015 DHS,7.0,19.3,8.8,4.8,5.9
Colombia,2010 DHS,8.0,23.7,10.6,5.8,5.8
Colombia,2005 DHS,8.6,21.0,11.6,6.5,6.1
Colombia,2000 DHS,10.0,24.2,13.6,7.1,7.0
Colombia,1995 DHS,11.4,21.6,16.0,7.8,7.9
Colombia,1990 DHS,13.7,25.8,19.2,11.0,6.4
Colombia,1986 DHS,,,,,
,,,,,,
India,2005-06 DHS,13.9,27.1,18.9,10.8,5.6
India,1998-99 DHS,16.1,27.3,21.7,12.6,4.9
India,1992-93 DHS,20.3,33.8,26.3,15.9,6.5
,,,,,,
Indonesia,2012 DHS,11.4,6.7,8.7,10.4,15.5
Indonesia,2007 DHS,13.1,9.3,10.2,11.4,18.8
Indonesia,2002-03 DHS,13.2,6.9,10.4,12.9,17.7
Indonesia,1997 DHS,13.6,10.5,11.0,14.3,16.9
Indonesia,1994 DHS,15.3,15.0,13.1,15.9,17.9
Indonesia,1991 DHS,17.0,19.0,16.3,18.9,14.8
Indonesia,1987 DHS,,,,,
,,,,,,
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,17.5,23.0,16.5,17.1,19.5
Kenya,2008-09 DHS,25.6,29.7,28.5,23.6,22.3
Kenya,2003 DHS,27.4,30.2,30.4,27.9,19.7
Kenya,1998 DHS,28.0,30.0,31.3,28.4,18.9
Kenya,1993 DHS,35.3,39.7,39.5,37.0,21.6
Kenya,1989 DHS,,,,,
,,,,,,
Senegal,2016 DHS,23.6,26.4,23.9,22.2,24.3
Senegal,2015 DHS,25.2,24.3,25.4,26.2,23.6
Senegal,2014 DHS,25.6,21.0,25.3,26.3,26.5
Senegal,2012-13 DHS,29.2,31.1,29.5,29.0,28.1
Senegal,2010-11 DHS,30.1,31.4,31.2,31.9,24.1
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,32.0,33.3,33.9,33.3,25.5
Senegal,1997 DHS,35.0,32.0,34.9,39.2,29.5
Senegal,1992-93 DHS,28.8,27.6,28.2,32.9,23.8
Senegal,1986 DHS,,,,,
