Country,Survey,Total,15-19,20-29,30-39,40-49
Colombia,2015 DHS,3.1,3.5,2.8,3.0,3.5
Colombia,2010 DHS,2.3,2.7,2.0,2.2,2.4
Colombia,2005 DHS,,,,,
Colombia,2000 DHS,,,,,
Colombia,1995 DHS,,,,,
Colombia,1990 DHS,,,,,
Colombia,1986 DHS,,,,,
,,,,,,
India,2005-06 DHS,47.2,45.2,45.9,48.7,49.7
India,1998-99 DHS,,,,,
India,1992-93 DHS,,,,,
,,,,,,
Indonesia,2012 DHS,34.5,44.9,37.6,31.6,28.1
Indonesia,2007 DHS,30.8,40.8,35.4,30.8,25.7
Indonesia,2002-03 DHS,24.8,29.9,29.0,23.6,21.3
Indonesia,1997 DHS,,,,,
Indonesia,1994 DHS,,,,,
Indonesia,1991 DHS,,,,,
Indonesia,1987 DHS,,,,,
,,,,,,
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,41.8,44.5,40.2,40.1,45.3
Kenya,2008-09 DHS,52.6,56.6,50.8,51.1,53.9
Kenya,2003 DHS,67.9,69.2,67.0,68.0,68.2
Kenya,1998 DHS,,,,,
Kenya,1993 DHS,,,,,
Kenya,1989 DHS,,,,,
,,,,,,
Senegal,2016 DHS,48.6,51.4,47.5,47.6,48.8
Senegal,2015 DHS,56.5,57.2,55.5,57.1,56.7
Senegal,2014 DHS,57.2,57.9,55.7,57.0,59.8
Senegal,2012-13 DHS,64.2,66.8,61.5,63.7,68.3
Senegal,2010-11 DHS,60.0,61.0,59.2,59.0,62.0
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,65.2,66.2,64.4,64.3,66.6
Senegal,1997 DHS,,,,,
Senegal,1992-93 DHS,,,,,
Senegal,1986 DHS,,,,,
