Country,Survey,Total,15-19,20-29,30-39,40-49
Colombia,2015 DHS,,,,,
Colombia,2010 DHS,,,,,
Colombia,2005 DHS,,,,,
Colombia,2000 DHS,,,,,
Colombia,1995 DHS,,,,,
Colombia,1990 DHS,,,,,
Colombia,1986 DHS,,,,,
,,,,,,
India,2005-06 DHS,,,,,
India,1998-99 DHS,,,,,
India,1992-93 DHS,,,,,
,,,,,,
Indonesia,2012 DHS,,,,,
Indonesia,2007 DHS,,,,,
Indonesia,2002-03 DHS,,,,,
Indonesia,1997 DHS,,,,,
Indonesia,1994 DHS,,,,,
Indonesia,1991 DHS,,,,,
Indonesia,1987 DHS,,,,,
,,,,,,
Kenya,2015 MIS,,,,,
Kenya,2014 DHS,21.0,11.4,16.4,25.1,36.1
Kenya,2008-09 DHS,27.1,14.6,23.0,32.1,43.9
Kenya,2003 DHS,32.2,20.3,28.5,38.8,47.6
Kenya,1998 DHS,37.6,26.0,36.1,45.1,47.5
Kenya,1993 DHS,,,,,
Kenya,1989 DHS,,,,,
,,,,,,
Senegal,2016 DHS,22.7,20.6,22.6,24.1,23.7
Senegal,2015 DHS,24.2,22.2,23.4,24.7,28.8
Senegal,2014 DHS,24.7,21.1,24.6,26.8,26.5
Senegal,2012-13 DHS,,,,,
Senegal,2010-11 DHS,25.7,24.0,25.1,26.8,27.5
Senegal,2008-09 MIS,,,,,
Senegal,2006 MIS,,,,,
Senegal,2005 DHS,28.2,24.8,28.2,30.3,30.4
Senegal,1997 DHS,,,,,
Senegal,1992-93 DHS,,,,,
Senegal,1986 DHS,,,,,
