Country,Survey,Total
Colombia,2015 DHS,18.8
Colombia,2010 DHS,18.7
Colombia,2005 DHS,17.6
Colombia,2000 DHS,16.2
Colombia,1995 DHS,16.4
Colombia,1990 DHS,15.3
Colombia,1986 DHS,17.7
,,
India,2005-06 DHS,28.3
India,1998-99 DHS,32.6
India,1992-93 DHS,32.3
,,
Indonesia,2012 DHS,14.4
Indonesia,2007 DHS,17.2
Indonesia,2002-03 DHS,20.2
Indonesia,1997 DHS,21.7
Indonesia,1994 DHS,24.9
Indonesia,1991 DHS,27.2
Indonesia,1987 DHS,28
,,
Kenya,2015 MIS,
Kenya,2014 DHS,24.7
Kenya,2008-09 DHS,28.8
Kenya,2003 DHS,27.2
Kenya,1998 DHS,30.9
Kenya,1993 DHS,33.7
Kenya,1989 DHS,39.3
,,
Senegal,2016 DHS,18.8
Senegal,2015 DHS,20.3
Senegal,2014 DHS,20.1
Senegal,2012-13 DHS,21.3
Senegal,2010-11 DHS,24.5
Senegal,2008-09 MIS,25.3
Senegal,2006 MIS,
Senegal,2005 DHS,25.6
Senegal,1997 DHS,30.3
Senegal,1992-93 DHS,35.9
Senegal,1986 DHS,39.6
